x	y	data
1.0	1.0	1.0
2.0	1.0	1.0
3.0	1.0	1.0
4.0	1.0	1.0
5.0	1.0	1.0
6.0	1.0	1.0
7.0	1.0	1.0
8.0	1.0	0.9992175394998538
9.0	1.0	0.9968202137242383
10.0	1.0	0.9319068709752903
11.0	1.0	0.9141591556642306
12.0	1.0	0.9854500200850856
13.0	1.0	0.999818344018211
14.0	1.0	1.0035345881070203
15.0	1.0	1.0
16.0	1.0	0.9998480259849084
17.0	1.0	0.9991315770448802
18.0	1.0	1.0
19.0	1.0	0.9807210920443625
20.0	1.0	1.0002178328079858
21.0	1.0	1.0
22.0	1.0	1.0001947298321414
23.0	1.0	1.0001886445040138
24.0	1.0	1.0
25.0	1.0	1.0
26.0	1.0	1.0
27.0	1.0	1.0
28.0	1.0	1.0
1.0	2.0	1.0
2.0	2.0	1.0
3.0	2.0	1.0
4.0	2.0	1.0
5.0	2.0	1.0
6.0	2.0	1.0
7.0	2.0	1.0
8.0	2.0	0.8667980594997514
9.0	2.0	0.8213225598988657
10.0	2.0	0.8805464328217738
11.0	2.0	1.1319357630759885
12.0	2.0	0.6676473045150088
13.0	2.0	0.783007498777862
14.0	2.0	0.8135651897084193
15.0	2.0	0.8712816344445317
16.0	2.0	1.0
17.0	2.0	1.0016596259497863
18.0	2.0	1.0024197525237102
19.0	2.0	1.000331726291965
20.0	2.0	0.9969977112098446
21.0	2.0	0.9994216167093084
22.0	2.0	1.0000608530682256
23.0	2.0	1.0000608530682256
24.0	2.0	1.0
25.0	2.0	1.0
26.0	2.0	1.0
27.0	2.0	1.0
28.0	2.0	1.0
1.0	3.0	1.0
2.0	3.0	1.0
3.0	3.0	1.0
4.0	3.0	1.0019831822728305
5.0	3.0	1.0067994823846536
6.0	3.0	1.026966299699604
7.0	3.0	0.9490989972116123
8.0	3.0	0.8403389067169457
9.0	3.0	0.3204525494654112
10.0	3.0	-0.0589414481404258
11.0	3.0	-0.17099083748130003
12.0	3.0	-0.14323374208039089
13.0	3.0	-0.2634456912708459
14.0	3.0	-0.21104013654544237
15.0	3.0	0.6591471954965832
16.0	3.0	1.1143825355492853
17.0	3.0	1.1473035848594149
18.0	3.0	1.0005233687715926
19.0	3.0	0.9753121826986454
20.0	3.0	0.9452729445197576
21.0	3.0	0.9987040397696214
22.0	3.0	1.0086522602320442
23.0	3.0	1.0085384147366936
24.0	3.0	1.0
25.0	3.0	0.9748607214118417
26.0	3.0	1.0
27.0	3.0	1.0
28.0	3.0	1.0
1.0	4.0	1.0
2.0	4.0	1.0
3.0	4.0	1.0
4.0	4.0	1.0004721862618187
5.0	4.0	0.9939851112973809
