x	y	data
1.0	1.0	1.0
2.0	1.0	1.0
3.0	1.0	1.0
4.0	1.0	1.0
5.0	1.0	1.0
6.0	1.0	1.0
7.0	1.0	1.0
8.0	1.0	0.9999958731388898
9.0	1.0	0.999983229138957
10.0	1.0	0.9718578081957949
11.0	1.0	0.9631757947514713
12.0	1.0	0.97295027294558
13.0	1.0	0.999968270287764
14.0	1.0	1.00093993553297
15.0	1.0	1.0
16.0	1.0	0.99995294683296
17.0	1.0	0.9997311247561376
18.0	1.0	1.0
19.0	1.0	0.9687833150638054
20.0	1.0	1.0004628773161568
21.0	1.0	1.0
22.0	1.0	1.0004381864205865
23.0	1.0	1.0004244930479735
24.0	1.0	1.0
25.0	1.0	1.0
26.0	1.0	1.0
27.0	1.0	1.0
28.0	1.0	1.0
1.0	2.0	1.0
2.0	2.0	1.0
3.0	2.0	1.0
4.0	2.0	1.0
5.0	2.0	1.0
6.0	2.0	1.0
7.0	2.0	1.0
8.0	2.0	0.9713941917299073
9.0	2.0	0.9283972971484886
10.0	2.0	0.7814715806200975
11.0	2.0	0.9314090403846733
12.0	2.0	0.7747578905811049
13.0	2.0	0.8886820621556338
14.0	2.0	0.948388753882333
15.0	2.0	0.970512971031219
16.0	2.0	1.0
17.0	2.0	1.0003585714484429
18.0	2.0	1.0003833130408262
19.0	2.0	1.000387312118647
20.0	2.0	0.9992593932563478
21.0	2.0	0.9998963780370567
22.0	2.0	1.0001369332467154
23.0	2.0	1.0001369332467154
24.0	2.0	1.0
25.0	2.0	1.0
26.0	2.0	1.0
27.0	2.0	1.0
28.0	2.0	1.0
1.0	3.0	1.0
2.0	3.0	1.0
3.0	3.0	1.0
4.0	3.0	1.0000117654100618
5.0	3.0	1.0000403385506005
6.0	3.0	1.0358208414710133
7.0	3.0	0.9437319373562675
8.0	3.0	0.8173768863531113
9.0	3.0	0.49452653445429573
10.0	3.0	0.3092410560440158
11.0	3.0	0.15496568985658166
12.0	3.0	0.11430064035072976
13.0	3.0	0.05762773493103558
14.0	3.0	0.38782610619652835
15.0	3.0	0.8538314684941729
16.0	3.0	1.070524884926698
17.0	3.0	1.0868352201560316
18.0	3.0	0.9957687144505072
19.0	3.0	0.9748842304370313
20.0	3.0	0.9409515283007931
21.0	3.0	0.9969904763419511
22.0	3.0	1.0
23.0	3.0	1.0
24.0	3.0	1.0
25.0	3.0	0.9851511315740241
26.0	3.0	1.0
27.0	3.0	1.0
28.0	3.0	1.0
1.0	4.0	1.0
2.0	4.0	1.0
3.0	4.0	1.0
4.0	4.0	1.000002801288148
5.0	4.0	0.9967252400578416
6.0	4.0	1.0971975605138757
7.0	4.0	1.0477265936926272
