x	y	data
1.0	1.0	1.0
2.0	1.0	1.0
3.0	1.0	1.0
4.0	1.0	1.0
5.0	1.0	1.0
6.0	1.0	1.0
7.0	1.0	1.0
8.0	1.0	0.99914560548265
9.0	1.0	0.9965278861235188
10.0	1.0	0.9939134099131861
11.0	1.0	0.9918134485784535
12.0	1.0	0.9933544122562834
13.0	1.0	0.9958371590301678
14.0	1.0	1.000761077901444
15.0	1.0	1.0
16.0	1.0	0.9998718122092658
17.0	1.0	0.9992674983287597
18.0	1.0	1.0
19.0	1.0	0.9981376261825601
20.0	1.0	1.000257960944062
21.0	1.0	1.0
22.0	1.0	1.0007013172428318
23.0	1.0	1.0006794010038185
24.0	1.0	1.0
25.0	1.0	1.0
26.0	1.0	1.0
27.0	1.0	1.0
28.0	1.0	1.0
1.0	2.0	1.0
2.0	2.0	1.0
3.0	2.0	1.0
4.0	2.0	1.0
5.0	2.0	1.0
6.0	2.0	1.0
7.0	2.0	1.0
8.0	2.0	0.9864135631089069
9.0	2.0	0.9467650332446736
10.0	2.0	0.9164713610376349
11.0	2.0	0.8982437237298445
12.0	2.0	0.9149082261331901
13.0	2.0	0.9506782633711469
14.0	2.0	0.983969225585078
15.0	2.0	0.9952798919642342
16.0	2.0	1.0
17.0	2.0	1.0010391148617963
18.0	2.0	1.0010293543943762
19.0	2.0	0.9996230843622677
20.0	2.0	0.996255252658828
21.0	2.0	0.9990472299543621
22.0	2.0	1.0002191616228318
23.0	2.0	1.0002191616228318
24.0	2.0	1.0
25.0	2.0	1.0
26.0	2.0	1.0
27.0	2.0	1.0
28.0	2.0	1.0
1.0	3.0	1.0
2.0	3.0	1.0
3.0	3.0	1.0
4.0	3.0	1.0007586461213565
5.0	3.0	1.0026010725332797
6.0	3.0	1.0024478786129822
7.0	3.0	0.9827964766729624
8.0	3.0	0.8996511593681198
9.0	3.0	0.6577226542837351
10.0	3.0	0.4541214430618932
11.0	3.0	0.4341425795787092
12.0	3.0	0.5470629594289367
13.0	3.0	0.736154968042246
14.0	3.0	0.8676666118170282
15.0	3.0	0.9481774410203344
16.0	3.0	0.9858538525279569
17.0	3.0	1.0000226647713357
18.0	3.0	0.9987409733516818
19.0	3.0	0.9933228754087805
20.0	3.0	0.9927109120199141
21.0	3.0	0.999965235597889
22.0	3.0	1.0019395028845617
23.0	3.0	1.0019139831173907
24.0	3.0	1.0
25.0	3.0	0.9966451076685627
26.0	3.0	1.0
27.0	3.0	1.0
28.0	3.0	1.0
1.0	4.0	1.0
2.0	4.0	1.0
3.0	4.0	1.0
4.0	4.0	1.000180630031336
5.0	4.0	0.998716929428707
6.0	4.0	1.0033408971703985
